literature,R2%,setup,Stt,Sinc,Sig,Hs(80m or offshore),Tp,tan,D50,dataset,Hs0,L0
POATE2016,3.632141777,NAN,NAN,NAN,NAN,1.92955,10.23820556,0.263624009,50,CHESIL,1.92955,163.6019579
POATE2016,3.553720062,NAN,NAN,NAN,NAN,1.92955,10.23820556,0.263624009,50,CHESIL,1.92955,163.6019579
POATE2016,3.604831357,NAN,NAN,NAN,NAN,1.92955,10.23820556,0.263624009,50,CHESIL,1.92955,163.6019579
POATE2016,3.772521892,NAN,NAN,NAN,NAN,1.92955,10.23820556,0.263624009,50,CHESIL,1.92955,163.6019579
POATE2016,4.03808394,NAN,NAN,NAN,NAN,2.013444445,10,0.262534641,50,CHESIL,2.013444445,156.0776823
POATE2016,4.065010584,NAN,NAN,NAN,NAN,2.013444445,10,0.262534641,50,CHESIL,2.013444445,156.0776823
POATE2016,3.78759692,NAN,NAN,NAN,NAN,2.013444445,10,0.262534641,50,CHESIL,2.013444445,156.0776823
POATE2016,3.965680491,NAN,NAN,NAN,NAN,2.013444445,10,0.262534641,50,CHESIL,2.013444445,156.0776823
POATE2016,4.064456167,NAN,NAN,NAN,NAN,2.147000001,10,0.274843398,50,CHESIL,2.147000001,156.0776823
POATE2016,3.84395223,NAN,NAN,NAN,NAN,2.147000001,10,0.274843398,50,CHESIL,2.147000001,156.0776823
POATE2016,4.0503734,NAN,NAN,NAN,NAN,2.147000001,10,0.274843398,50,CHESIL,2.147000001,156.0776823
POATE2016,3.932296482,NAN,NAN,NAN,NAN,2.147000001,10,0.274843398,50,CHESIL,2.147000001,156.0776823
POATE2016,4.102962536,NAN,NAN,NAN,NAN,2.225222222,10,0.27315132,50,CHESIL,2.225222222,156.0776823
POATE2016,3.844247348,NAN,NAN,NAN,NAN,2.225222222,10,0.27315132,50,CHESIL,2.225222222,156.0776823
POATE2016,4.101981597,NAN,NAN,NAN,NAN,2.225222222,10,0.27315132,50,CHESIL,2.225222222,156.0776823
POATE2016,4.255298508,NAN,NAN,NAN,NAN,2.225222222,10,0.27315132,50,CHESIL,2.225222222,156.0776823
POATE2016,4.121467307,NAN,NAN,NAN,NAN,2.2436,10,0.27315132,50,CHESIL,2.2436,156.0776823
POATE2016,3.996068783,NAN,NAN,NAN,NAN,2.2436,10,0.27315132,50,CHESIL,2.2436,156.0776823
POATE2016,3.890844586,NAN,NAN,NAN,NAN,2.2436,10,0.27315132,50,CHESIL,2.2436,156.0776823
POATE2016,4.138718808,NAN,NAN,NAN,NAN,2.2436,10,0.27315132,50,CHESIL,2.2436,156.0776823
POATE2016,4.715836984,NAN,NAN,NAN,NAN,2.163533334,10,0.261600896,50,CHESIL,2.163533334,156.0776823
POATE2016,4.413539245,NAN,NAN,NAN,NAN,2.163533334,10,0.261600896,50,CHESIL,2.163533334,156.0776823
POATE2016,4.333598984,NAN,NAN,NAN,NAN,2.163533334,10,0.261600896,50,CHESIL,2.163533334,156.0776823
POATE2016,4.450988014,NAN,NAN,NAN,NAN,2.163533334,10,0.261600896,50,CHESIL,2.163533334,156.0776823
POATE2016,4.46175027,NAN,NAN,NAN,NAN,2.272305556,10.42252778,0.260791651,50,CHESIL,2.272305556,169.5457586
POATE2016,4.258172254,NAN,NAN,NAN,NAN,2.272305556,10.42252778,0.260791651,50,CHESIL,2.272305556,169.5457586
POATE2016,4.604244668,NAN,NAN,NAN,NAN,2.272305556,10.42252778,0.260791651,50,CHESIL,2.272305556,169.5457586
POATE2016,4.454645537,NAN,NAN,NAN,NAN,2.272305556,10.42252778,0.260791651,50,CHESIL,2.272305556,169.5457586
POATE2016,4.300665495,NAN,NAN,NAN,NAN,2.345638889,10.06919445,0.260083562,50,CHESIL,2.345638889,158.2450968
POATE2016,4.088166376,NAN,NAN,NAN,NAN,2.345638889,10.06919445,0.260083562,50,CHESIL,2.345638889,158.2450968
POATE2016,4.832701104,NAN,NAN,NAN,NAN,2.345638889,10.06919445,0.260083562,50,CHESIL,2.345638889,158.2450968
POATE2016,4.477825754,NAN,NAN,NAN,NAN,2.345638889,10.06919445,0.260083562,50,CHESIL,2.345638889,158.2450968
POATE2016,4.456844255,NAN,NAN,NAN,NAN,2.300966667,10.28443333,0.260083562,50,CHESIL,2.300966667,165.0826918
POATE2016,4.358997826,NAN,NAN,NAN,NAN,2.300966667,10.28443333,0.260083562,50,CHESIL,2.300966667,165.0826918
POATE2016,4.487968385,NAN,NAN,NAN,NAN,2.300966667,10.28443333,0.260083562,50,CHESIL,2.300966667,165.0826918
POATE2016,4.375349666,NAN,NAN,NAN,NAN,2.300966667,10.28443333,0.260083562,50,CHESIL,2.300966667,165.0826918
POATE2016,3.980912607,NAN,NAN,NAN,NAN,2.276505556,10.78078333,0.252930003,50,CHESIL,2.276505556,181.4017378
POATE2016,3.806448867,NAN,NAN,NAN,NAN,2.276505556,10.78078333,0.252930003,50,CHESIL,2.276505556,181.4017378
POATE2016,4.179857512,NAN,NAN,NAN,NAN,2.276505556,10.78078333,0.252930003,50,CHESIL,2.276505556,181.4017378
POATE2016,4.779344146,NAN,NAN,NAN,NAN,2.276505556,10.78078333,0.252930003,50,CHESIL,2.276505556,181.4017378
POATE2016,3.880238284,NAN,NAN,NAN,NAN,2.363244444,11.60146667,0.252726015,50,CHESIL,2.363244444,210.0712407
POATE2016,3.426618414,NAN,NAN,NAN,NAN,2.363244444,11.60146667,0.252726015,50,CHESIL,2.363244444,210.0712407
POATE2016,3.958062507,NAN,NAN,NAN,NAN,2.363244444,11.60146667,0.252726015,50,CHESIL,2.363244444,210.0712407
POATE2016,3.785460518,NAN,NAN,NAN,NAN,2.363244444,11.60146667,0.252726015,50,CHESIL,2.363244444,210.0712407
POATE2016,3.411087211,NAN,NAN,NAN,NAN,2.3854,11.0958,0.250695431,50,CHESIL,2.3854,192.1578129
POATE2016,3.872024323,NAN,NAN,NAN,NAN,2.3854,11.0958,0.250695431,50,CHESIL,2.3854,192.1578129
POATE2016,3.950010942,NAN,NAN,NAN,NAN,2.3854,11.0958,0.250695431,50,CHESIL,2.3854,192.1578129
POATE2016,3.572624189,NAN,NAN,NAN,NAN,2.394166667,10.41958333,0.25062289,50,CHESIL,2.394166667,169.4499762
POATE2016,3.609644718,NAN,NAN,NAN,NAN,2.394166667,10.41958333,0.25062289,50,CHESIL,2.394166667,169.4499762
POATE2016,3.654187001,NAN,NAN,NAN,NAN,2.394166667,10.41958333,0.25062289,50,CHESIL,2.394166667,169.4499762
POATE2016,2.860630422,NAN,NAN,NAN,NAN,2.407533333,10.06536667,0.249462222,50,CHESIL,2.407533333,158.1248067
POATE2016,2.787983395,NAN,NAN,NAN,NAN,2.407533333,10.06536667,0.249462222,50,CHESIL,2.407533333,158.1248067
POATE2016,3.349902592,NAN,NAN,NAN,NAN,2.407533333,10.06536667,0.249462222,50,CHESIL,2.407533333,158.1248067
POATE2016,3.592972945,NAN,NAN,NAN,NAN,2.25315,10.33115,0.249462222,50,CHESIL,2.25315,166.5858625
POATE2016,3.249543458,NAN,NAN,NAN,NAN,2.25315,10.33115,0.249462222,50,CHESIL,2.25315,166.5858625
POATE2016,3.867745002,NAN,NAN,NAN,NAN,2.25315,10.33115,0.249462222,50,CHESIL,2.25315,166.5858625
POATE2016,2.739491371,NAN,NAN,NAN,NAN,2.19315,11.07115,0.249462222,50,CHESIL,2.19315,191.3049807
POATE2016,3.078456099,NAN,NAN,NAN,NAN,2.19315,11.07115,0.249462222,50,CHESIL,2.19315,191.3049807
POATE2016,2.545062754,NAN,NAN,NAN,NAN,2.063555555,12.51353333,0.249462222,50,CHESIL,2.063555555,244.3997273
POATE2016,2.568667207,NAN,NAN,NAN,NAN,1.950927778,12.85812778,0.249462222,50,CHESIL,1.950927778,258.0454953
POATE2016,2.524531064,NAN,NAN,NAN,NAN,1.950927778,12.85812778,0.249462222,50,CHESIL,1.950927778,258.0454953
POATE2016,1.975971011,NAN,NAN,NAN,NAN,1.864116666,11.80971666,0.249462222,50,CHESIL,1.864116666,217.6806189
POATE2016,2.744772179,NAN,NAN,NAN,NAN,1.864116666,11.80971666,0.249462222,50,CHESIL,1.864116666,217.6806189
POATE2016,2.356404661,NAN,NAN,NAN,NAN,1.7645,10.63946667,0.249462222,50,CHESIL,1.7645,176.6772065
POATE2016,2.175982876,NAN,NAN,NAN,NAN,1.7645,10.63946667,0.249462222,50,CHESIL,1.7645,176.6772065
POATE2016,2.441580297,NAN,NAN,NAN,NAN,1.71,10,0.249462222,50,CHESIL,1.71,156.0776823
POATE2016,2.806459679,NAN,NAN,NAN,NAN,1.71,10,0.249462222,50,CHESIL,1.71,156.0776823
POATE2016,1.732867806,NAN,NAN,NAN,NAN,1.71,10,0.249462222,50,CHESIL,1.71,156.0776823
POATE2016,3.384736839,NAN,NAN,NAN,NAN,1.884927778,8.00537778,0.275447244,50,CHESIL,1.884927778,100.024058
POATE2016,3.532756329,NAN,NAN,NAN,NAN,1.884927778,8.00537778,0.275447244,50,CHESIL,1.884927778,100.024058
POATE2016,3.368818056,NAN,NAN,NAN,NAN,1.884927778,8.00537778,0.275447244,50,CHESIL,1.884927778,100.024058
POATE2016,3.417342325,NAN,NAN,NAN,NAN,1.884927778,8.00537778,0.275447244,50,CHESIL,1.884927778,100.024058
POATE2016,3.524737463,NAN,NAN,NAN,NAN,1.886955555,8.284699987,0.286551208,50,CHESIL,1.886955555,107.1258742
POATE2016,3.590459481,NAN,NAN,NAN,NAN,1.886955555,8.284699987,0.286551208,50,CHESIL,1.886955555,107.1258742
POATE2016,3.789868303,NAN,NAN,NAN,NAN,1.886955555,8.284699987,0.286551208,50,CHESIL,1.886955555,107.1258742
POATE2016,3.847191756,NAN,NAN,NAN,NAN,1.886955555,8.284699987,0.286551208,50,CHESIL,1.886955555,107.1258742
POATE2016,3.242356235,NAN,NAN,NAN,NAN,1.913644444,10.5666,0.286551208,50,CHESIL,1.913644444,174.2654702
POATE2016,3.811591372,NAN,NAN,NAN,NAN,1.913644444,10.5666,0.286551208,50,CHESIL,1.913644444,174.2654702
POATE2016,3.685118064,NAN,NAN,NAN,NAN,1.913644444,10.5666,0.286551208,50,CHESIL,1.913644444,174.2654702
POATE2016,3.650982432,NAN,NAN,NAN,NAN,1.913644444,10.5666,0.286551208,50,CHESIL,1.913644444,174.2654702
POATE2016,3.647716337,NAN,NAN,NAN,NAN,1.9505,9.371499992,0.286551208,50,CHESIL,1.9505,137.0752433
POATE2016,3.955919235,NAN,NAN,NAN,NAN,1.9505,9.371499992,0.286551208,50,CHESIL,1.9505,137.0752433
POATE2016,3.657598906,NAN,NAN,NAN,NAN,1.9505,9.371499992,0.286551208,50,CHESIL,1.9505,137.0752433
POATE2016,3.809304364,NAN,NAN,NAN,NAN,1.9505,9.371499992,0.286551208,50,CHESIL,1.9505,137.0752433
POATE2016,3.699914221,NAN,NAN,NAN,NAN,2.002822222,8.095533327,0.286551208,50,CHESIL,2.002822222,102.2896605
POATE2016,3.905067952,NAN,NAN,NAN,NAN,2.002822222,8.095533327,0.286551208,50,CHESIL,2.002822222,102.2896605
POATE2016,3.607158052,NAN,NAN,NAN,NAN,2.002822222,8.095533327,0.286551208,50,CHESIL,2.002822222,102.2896605
POATE2016,3.971577585,NAN,NAN,NAN,NAN,2.002822222,8.095533327,0.286551208,50,CHESIL,2.002822222,102.2896605
POATE2016,3.556643188,NAN,NAN,NAN,NAN,2.089633333,9.638100002,0.283516544,50,CHESIL,2.089633333,144.9851971
POATE2016,3.808981783,NAN,NAN,NAN,NAN,2.089633333,9.638100002,0.283516544,50,CHESIL,2.089633333,144.9851971
POATE2016,3.450811776,NAN,NAN,NAN,NAN,2.089633333,9.638100002,0.283516544,50,CHESIL,2.089633333,144.9851971
POATE2016,4.085082977,NAN,NAN,NAN,NAN,2.089633333,9.638100002,0.283516544,50,CHESIL,2.089633333,144.9851971
POATE2016,3.269634677,NAN,NAN,NAN,NAN,2.140733333,9.533877777,0.282931144,50,CHESIL,2.140733333,141.8665369
POATE2016,4.030995906,NAN,NAN,NAN,NAN,2.140733333,9.533877777,0.282931144,50,CHESIL,2.140733333,141.8665369
POATE2016,3.44427584,NAN,NAN,NAN,NAN,2.140733333,9.533877777,0.282931144,50,CHESIL,2.140733333,141.8665369
POATE2016,3.99693039,NAN,NAN,NAN,NAN,2.140733333,9.533877777,0.282931144,50,CHESIL,2.140733333,141.8665369
POATE2016,3.469389313,NAN,NAN,NAN,NAN,2.166311111,8.831777779,0.282931144,50,CHESIL,2.166311111,121.7410584
POATE2016,3.879793209,NAN,NAN,NAN,NAN,2.166311111,8.831777779,0.282931144,50,CHESIL,2.166311111,121.7410584
POATE2016,3.777541218,NAN,NAN,NAN,NAN,2.166311111,8.831777779,0.282931144,50,CHESIL,2.166311111,121.7410584
POATE2016,4.327943577,NAN,NAN,NAN,NAN,2.166311111,8.831777779,0.282931144,50,CHESIL,2.166311111,121.7410584
POATE2016,4.158597202,NAN,NAN,NAN,NAN,2.152944444,7.896111111,0.285687342,50,CHESIL,2.152944444,97.31220405
POATE2016,4.141873006,NAN,NAN,NAN,NAN,2.152944444,7.896111111,0.285687342,50,CHESIL,2.152944444,97.31220405
POATE2016,4.209601509,NAN,NAN,NAN,NAN,2.152944444,7.896111111,0.285687342,50,CHESIL,2.152944444,97.31220405
POATE2016,4.057657352,NAN,NAN,NAN,NAN,2.197,7.402777778,0.285687342,50,CHESIL,2.197,85.53231613
POATE2016,4.249262813,NAN,NAN,NAN,NAN,2.197,7.402777778,0.285687342,50,CHESIL,2.197,85.53231613
POATE2016,4.023727244,NAN,NAN,NAN,NAN,2.197,7.402777778,0.285687342,50,CHESIL,2.197,85.53231613
POATE2016,4.002720045,NAN,NAN,NAN,NAN,2.230416667,7.513750001,0.284946886,50,CHESIL,2.230416667,88.1159016
POATE2016,4.30705922,NAN,NAN,NAN,NAN,2.230416667,7.513750001,0.284946886,50,CHESIL,2.230416667,88.1159016
POATE2016,3.954470011,NAN,NAN,NAN,NAN,2.230416667,7.513750001,0.284946886,50,CHESIL,2.230416667,88.1159016
POATE2016,4.315896862,NAN,NAN,NAN,NAN,2.230416667,7.513750001,0.284946886,50,CHESIL,2.230416667,88.1159016
POATE2016,3.372499729,NAN,NAN,NAN,NAN,4.036688889,13.63444444,0.165952381,50,CHESIL,4.036688889,290.1454073
POATE2016,3.477753323,NAN,NAN,NAN,NAN,4.036688889,13.63444444,0.165952381,50,CHESIL,4.036688889,290.1454073
POATE2016,4.265697216,NAN,NAN,NAN,NAN,4.186016665,13.77483333,0.168863636,50,CHESIL,4.186016665,296.1512108
POATE2016,4.216665403,NAN,NAN,NAN,NAN,4.186016665,13.77483333,0.168863636,50,CHESIL,4.186016665,296.1512108
POATE2016,5.473312283,NAN,NAN,NAN,NAN,4.72,15.4,0.172111111,50,CHESIL,4.72,370.1538313
POATE2016,5.8060951,NAN,NAN,NAN,NAN,4.72,15.4,0.172111111,50,CHESIL,4.72,370.1538313
POATE2016,9.055230328,NAN,NAN,NAN,NAN,4.804083333,16.12872222,0.172111111,50,CHESIL,4.804083333,406.0137409
POATE2016,9.168669303,NAN,NAN,NAN,NAN,4.804083333,16.12872222,0.172111111,50,CHESIL,4.804083333,406.0137409
POATE2016,9.999735957,NAN,NAN,NAN,NAN,4.929344446,16.54255555,0.176195652,50,CHESIL,4.929344446,427.1161673
POATE2016,10.82928013,NAN,NAN,NAN,NAN,4.929344446,16.54255555,0.176195652,50,CHESIL,4.929344446,427.1161673
POATE2016,10.85071091,NAN,NAN,NAN,NAN,6.178666665,16.7,0.1871875,50,CHESIL,6.178666665,435.2850481
POATE2016,10.91797268,NAN,NAN,NAN,NAN,6.178666665,16.7,0.1871875,50,CHESIL,6.178666665,435.2850481
POATE2016,9.497262995,NAN,NAN,NAN,NAN,6.610761111,15.35466667,0.1871875,50,CHESIL,6.610761111,367.9777783
POATE2016,8.81962399,NAN,NAN,NAN,NAN,6.725333331,14.81999999,0.1871875,50,CHESIL,6.725333331,342.797159
POATE2016,9.326492703,NAN,NAN,NAN,NAN,6.725333331,14.81999999,0.1871875,50,CHESIL,6.725333331,342.797159
POATE2016,10.53443638,NAN,NAN,NAN,NAN,7.1741,23.68033332,0.191938776,50,CHESIL,7.1741,875.2183798
POATE2016,11.39685986,NAN,NAN,NAN,NAN,7.1741,23.68033332,0.191938776,50,CHESIL,7.1741,875.2183798
POATE2016,12.06853594,NAN,NAN,NAN,NAN,6.99,14.3,0.1871875,50,CHESIL,6.99,319.1632525
POATE2016,12.16507227,NAN,NAN,NAN,NAN,6.743355556,14.3,0.181489362,50,CHESIL,6.743355556,319.1632525
POATE2016,12.44691284,NAN,NAN,NAN,NAN,6.512627778,14.3,0.181489362,50,CHESIL,6.512627778,319.1632525
POATE2016,12.66959212,NAN,NAN,NAN,NAN,6.512627778,14.3,0.181489362,50,CHESIL,6.512627778,319.1632525
POATE2016,2.285028526,NAN,NAN,NAN,NAN,2.07,12.5,0.176,50,CHESIL,2.07,243.8713785
POATE2016,1.943340505,NAN,NAN,NAN,NAN,2.07,12.5,0.176,50,CHESIL,2.07,243.8713785
POATE2016,1.849895068,NAN,NAN,NAN,NAN,2.114844444,9.809333336,0.173571429,50,CHESIL,2.114844444,150.1826602
POATE2016,1.70342418,NAN,NAN,NAN,NAN,2.114844444,9.809333336,0.173571429,50,CHESIL,2.114844444,150.1826602
POATE2016,1.75039709,NAN,NAN,NAN,NAN,2.152422222,8.281333318,0.171363636,50,CHESIL,2.152422222,107.0388261
POATE2016,1.550117273,NAN,NAN,NAN,NAN,2.152422222,8.281333318,0.171363636,50,CHESIL,2.152422222,107.0388261
POATE2016,2.402910283,NAN,NAN,NAN,NAN,2.17,12.49999998,0.171363636,50,CHESIL,2.17,243.8713778
POATE2016,2.088664914,NAN,NAN,NAN,NAN,2.17,12.49999998,0.171363636,50,CHESIL,2.17,243.8713778
POATE2016,1.882094341,NAN,NAN,NAN,NAN,2.209238889,12.94844444,0.171304348,50,CHESIL,2.209238889,261.6832969
POATE2016,1.740661031,NAN,NAN,NAN,NAN,2.209238889,12.94844444,0.171304348,50,CHESIL,2.209238889,261.6832969
POATE2016,2.460713526,NAN,NAN,NAN,NAN,2.232733333,13.3,0.171304348,50,CHESIL,2.232733333,276.0858122
POATE2016,2.321970601,NAN,NAN,NAN,NAN,2.232733333,13.3,0.171304348,50,CHESIL,2.232733333,276.0858122
POATE2016,2.401992754,NAN,NAN,NAN,NAN,2.18,13.3,0.1725,50,CHESIL,2.18,276.0858122
POATE2016,2.164104529,NAN,NAN,NAN,NAN,2.18,13.3,0.1725,50,CHESIL,2.18,276.0858122
POATE2016,2.516965546,NAN,NAN,NAN,NAN,2.168788889,9.824555559,0.1725,50,CHESIL,2.168788889,150.6491318
POATE2016,2.478485176,NAN,NAN,NAN,NAN,2.168788889,9.824555559,0.1725,50,CHESIL,2.168788889,150.6491318
POATE2016,2.007057113,NAN,NAN,NAN,NAN,2.167266667,7.584444454,0.171304348,50,CHESIL,2.167266667,89.78181017
POATE2016,1.835186552,NAN,NAN,NAN,NAN,2.167266667,7.584444454,0.171304348,50,CHESIL,2.167266667,89.78181017
POATE2016,3.805803005,NAN,NAN,NAN,NAN,1.595322222,9.738627777,0.109936558,3,LOEBAR,1.595322222,148.0254333
POATE2016,3.255267452,NAN,NAN,NAN,NAN,1.595322222,9.738627777,0.109936558,3,LOEBAR,1.595322222,148.0254333
POATE2016,3.329258458,NAN,NAN,NAN,NAN,1.595322222,9.738627777,0.109936558,3,LOEBAR,1.595322222,148.0254333
POATE2016,3.117236256,NAN,NAN,NAN,NAN,1.431955556,9.166844444,0.109936558,3,LOEBAR,1.431955556,131.153695
POATE2016,3.303916133,NAN,NAN,NAN,NAN,1.431955556,9.166844444,0.109936558,3,LOEBAR,1.431955556,131.153695
POATE2016,3.258701767,NAN,NAN,NAN,NAN,1.431955556,9.166844444,0.109936558,3,LOEBAR,1.431955556,131.153695
POATE2016,3.100723119,NAN,NAN,NAN,NAN,1.431955556,9.166844444,0.109936558,3,LOEBAR,1.431955556,131.153695
POATE2016,3.443020123,NAN,NAN,NAN,NAN,1.472111111,10.74836667,0.110016777,3,LOEBAR,1.472111111,180.3124664
POATE2016,3.316062525,NAN,NAN,NAN,NAN,1.472111111,10.74836667,0.110016777,3,LOEBAR,1.472111111,180.3124664
POATE2016,3.079878602,NAN,NAN,NAN,NAN,1.472111111,10.74836667,0.110016777,3,LOEBAR,1.472111111,180.3124664
POATE2016,3.064369631,NAN,NAN,NAN,NAN,1.472111111,10.74836667,0.110016777,3,LOEBAR,1.472111111,180.3124664
POATE2016,2.980700353,NAN,NAN,NAN,NAN,1.472111111,10.74836667,0.110016777,3,LOEBAR,1.472111111,180.3124664
POATE2016,3.205071622,NAN,NAN,NAN,NAN,1.541777778,11.25155556,0.109963439,3,LOEBAR,1.541777778,197.5904477
POATE2016,3.184765451,NAN,NAN,NAN,NAN,1.541777778,11.25155556,0.109963439,3,LOEBAR,1.541777778,197.5904477
POATE2016,3.343941539,NAN,NAN,NAN,NAN,1.615355556,10.07431111,0.110013369,3,LOEBAR,1.615355556,158.4059623
POATE2016,3.161837192,NAN,NAN,NAN,NAN,1.615355556,10.07431111,0.110013369,3,LOEBAR,1.615355556,158.4059623
POATE2016,2.909712182,NAN,NAN,NAN,NAN,1.613738889,10.69498333,0.110312748,3,LOEBAR,1.613738889,178.5258179
POATE2016,2.936134235,NAN,NAN,NAN,NAN,1.613738889,10.69498333,0.110312748,3,LOEBAR,1.613738889,178.5258179
POATE2016,4.649609351,NAN,NAN,NAN,NAN,1.613738889,10.69498333,0.110312748,3,LOEBAR,1.613738889,178.5258179
POATE2016,2.869697059,NAN,NAN,NAN,NAN,1.589311111,10.51297778,0.110273203,3,LOEBAR,1.589311111,172.5012713
POATE2016,2.863786761,NAN,NAN,NAN,NAN,1.589311111,10.51297778,0.110273203,3,LOEBAR,1.589311111,172.5012713
POATE2016,2.906892755,NAN,NAN,NAN,NAN,1.589311111,10.51297778,0.110273203,3,LOEBAR,1.589311111,172.5012713
POATE2016,3.485836688,NAN,NAN,NAN,NAN,1.882555555,9.794755558,0.110103056,3,LOEBAR,1.882555555,149.7366151
POATE2016,2.742013222,NAN,NAN,NAN,NAN,1.882555555,9.794755558,0.110103056,3,LOEBAR,1.882555555,149.7366151
POATE2016,2.743284735,NAN,NAN,NAN,NAN,1.9286,9.731911105,0.110136282,3,LOEBAR,1.9286,147.8213192
POATE2016,2.823948396,NAN,NAN,NAN,NAN,1.9286,9.731911105,0.110136282,3,LOEBAR,1.9286,147.8213192
POATE2016,2.772691924,NAN,NAN,NAN,NAN,1.844555556,10.72655556,0.110031264,3,LOEBAR,1.844555556,179.5814112
POATE2016,3.253759839,NAN,NAN,NAN,NAN,1.844555556,10.72655556,0.110031264,3,LOEBAR,1.844555556,179.5814112
POATE2016,3.15319752,NAN,NAN,NAN,NAN,1.7898,10.7214,0.109980311,3,LOEBAR,1.7898,179.4088266
POATE2016,2.807566864,NAN,NAN,NAN,NAN,1.7898,10.7214,0.109980311,3,LOEBAR,1.7898,179.4088266
POATE2016,3.272069744,NAN,NAN,NAN,NAN,1.7898,10.7214,0.109980311,3,LOEBAR,1.7898,179.4088266
POATE2016,3.028827124,NAN,NAN,NAN,NAN,1.7898,10.7214,0.109980311,3,LOEBAR,1.7898,179.4088266
POATE2016,2.876420475,NAN,NAN,NAN,NAN,1.829833333,11.10838889,0.109958883,3,LOEBAR,1.829833333,192.5940908
POATE2016,2.70431095,NAN,NAN,NAN,NAN,1.829833333,11.10838889,0.109958883,3,LOEBAR,1.829833333,192.5940908
POATE2016,3.558435063,NAN,NAN,NAN,NAN,1.83,9.768944452,0.110042609,3,LOEBAR,1.83,148.948484
POATE2016,2.948061016,NAN,NAN,NAN,NAN,1.83,9.768944452,0.110042609,3,LOEBAR,1.83,148.948484
POATE2016,3.119729682,NAN,NAN,NAN,NAN,1.83,9.768944452,0.110042609,3,LOEBAR,1.83,148.948484
POATE2016,3.831150292,NAN,NAN,NAN,NAN,1.803466667,9.75996667,0.10997971,3,LOEBAR,1.803466667,148.6748388
POATE2016,3.298081631,NAN,NAN,NAN,NAN,1.803466667,9.75996667,0.10997971,3,LOEBAR,1.803466667,148.6748388
POATE2016,3.264644692,NAN,NAN,NAN,NAN,1.803466667,9.75996667,0.10997971,3,LOEBAR,1.803466667,148.6748388
POATE2016,2.984531062,NAN,NAN,NAN,NAN,1.803466667,9.75996667,0.10997971,3,LOEBAR,1.803466667,148.6748388
POATE2016,4.01290285,NAN,NAN,NAN,NAN,1.788888889,11.11,0.109936558,3,LOEBAR,1.788888889,192.6499609
POATE2016,3.031969817,NAN,NAN,NAN,NAN,1.788888889,11.11,0.109936558,3,LOEBAR,1.788888889,192.6499609
POATE2016,3.618090488,NAN,NAN,NAN,NAN,1.788888889,11.11,0.109936558,3,LOEBAR,1.788888889,192.6499609
POATE2016,3.223270887,NAN,NAN,NAN,NAN,1.788888889,11.11,0.109936558,3,LOEBAR,1.788888889,192.6499609
POATE2016,2.62687487,NAN,NAN,NAN,NAN,1.788888889,11.11,0.109936558,3,LOEBAR,1.788888889,192.6499609
POATE2016,4.174259022,NAN,NAN,NAN,NAN,1.882222222,11.11,0.109936558,3,LOEBAR,1.882222222,192.6499609
POATE2016,3.01995774,NAN,NAN,NAN,NAN,1.882222222,11.11,0.109936558,3,LOEBAR,1.882222222,192.6499609
POATE2016,3.090140888,NAN,NAN,NAN,NAN,1.882222222,11.11,0.109936558,3,LOEBAR,1.882222222,192.6499609
POATE2016,3.059658427,NAN,NAN,NAN,NAN,1.882222222,11.11,0.109936558,3,LOEBAR,1.882222222,192.6499609
POATE2016,4.461251081,NAN,NAN,NAN,NAN,1.800055556,11.11,0.109936558,3,LOEBAR,1.800055556,192.6499609
POATE2016,2.550049415,NAN,NAN,NAN,NAN,1.800055556,11.11,0.109936558,3,LOEBAR,1.800055556,192.6499609
POATE2016,2.916270645,NAN,NAN,NAN,NAN,1.800055556,11.11,0.109936558,3,LOEBAR,1.800055556,192.6499609
POATE2016,2.80031504,NAN,NAN,NAN,NAN,1.800055556,11.11,0.109936558,3,LOEBAR,1.800055556,192.6499609
POATE2016,4.027863137,NAN,NAN,NAN,NAN,1.79,9.963088886,0.109936558,3,LOEBAR,1.79,154.9276085
POATE2016,2.166722439,NAN,NAN,NAN,NAN,1.79,9.963088886,0.109936558,3,LOEBAR,1.79,154.9276085
POATE2016,3.65064592,NAN,NAN,NAN,NAN,1.79,9.963088886,0.109936558,3,LOEBAR,1.79,154.9276085
POATE2016,3.163274359,NAN,NAN,NAN,NAN,1.79,9.963088886,0.109936558,3,LOEBAR,1.79,154.9276085
POATE2016,3.198745247,NAN,NAN,NAN,NAN,1.79,9.963088886,0.109936558,3,LOEBAR,1.79,154.9276085
POATE2016,4.229617869,NAN,NAN,NAN,NAN,1.76875,9.09,0.109936558,3,LOEBAR,1.76875,128.9640234
POATE2016,3.610741012,NAN,NAN,NAN,NAN,1.76875,9.09,0.109936558,3,LOEBAR,1.76875,128.9640234
POATE2016,3.235435036,NAN,NAN,NAN,NAN,1.76875,9.09,0.109936558,3,LOEBAR,1.76875,128.9640234
POATE2016,4.010380012,NAN,NAN,NAN,NAN,1.70855,9.09,0.109936558,3,LOEBAR,1.70855,128.9640234
POATE2016,3.501457019,NAN,NAN,NAN,NAN,1.70855,9.09,0.109936558,3,LOEBAR,1.70855,128.9640234
POATE2016,2.40599822,NAN,NAN,NAN,NAN,1.70855,9.09,0.109936558,3,LOEBAR,1.70855,128.9640234
POATE2016,2.759278887,NAN,NAN,NAN,NAN,1.70855,9.09,0.109936558,3,LOEBAR,1.70855,128.9640234
